id,title,category,views,likes,comments,duration
eVli-tstM5E,Sabrina Carpenter - Espresso (Official Video),Music,3067840,242251,8218,3m 21s
FALlhXl6CmA,Conan O'Brien Needs a Doctor While Eating Spicy Wings | Hot Ones,Entertainment,5348291,343924,34962,27m 21s
YyAumYg5Hxc,"Tom MacDonald - ""God Mode""",People & Blogs,1448420,169022,34359,8m 25s
8AbtCE-sePc,What Happened To The Nautilus?,Education,1975739,62485,1527,16m 57s
U4JYAx5rNRA,Bridgerton Season 3 | Official Trailer | Netflix,Entertainment,4397299,160461,6578,2m 48s
a9cyG_yfh1k,Dua Lipa - Illusion (Official Music Video),Music,5721824,280352,14388,3m 7s
LYZW7wH3pVM,Genshin Impact Version 4.6 Special Program #NewVersion #SpecialProgram #GenshinImpact,Gaming,1154830,69872,4477,39m 16s
F9gq_0HXoRI,410 (OFFICIAL VIDEO) SIDHU MOOSE WALA | SUNNY MALTON  |  Latest New Punjabi Songs 2024,Music,12961158,929113,117260,3m 52s
5WLAUxb8AUk,"Version 4.6 ""Two Worlds Aflame, the Crimson Night Fades"" Trailer | Genshin Impact",Gaming,1113790,82601,3535,4m 58s
P53UY4uIlYY,Can You Beat Minecraft in a Potato ONLY World?,Gaming,803457,27058,2486,51m 43s
t7bQwwqW-Hc,Shaboozey - A Bar Song (Tipsy) [Official Visualizer],Music,1384729,44618,1358,2m 54s
djIufZ7Fyms,I made FLAPPY BIRD in DUMB programs,Education,912030,80425,3328,19m 35s
ezlJzCNrXZ0,UFC 300: Pre-Fight Press Conference,Sports,1157964,29467,3461,54m 26s
7D0wFf4GqLI,Coming Soon: New Pokémon GO Updates,Gaming,549860,4939,1727,0m 15s
OU__5jImEm0,Bryson DeChambeau's First Round | Every Single Shot | The Masters,Sports,582607,5861,560,10m 50s
oQkQv1ULyzs,"Kendall Jenner’s Guide to “Spring French Girl"" Makeup | Beauty Secrets | Vogue",Entertainment,1384941,53427,1413,11m 27s
xy8aJw1vYHo,Joker: Folie à Deux | Official Teaser Trailer,Film & Animation,28883267,846441,39829,2m 25s
XN39ZM0Ip1I,Zach Bryan - 28,Music,260377,13913,1021,3m 18s
3BMJT3j2mkU,Hermitcraft 10 - Ep 11:  This Episode Changes Everything!,Gaming,521968,40319,2671,25m 5s
g2N1CaSDOCg,"Goldman's father reflects on OJ's death, addresses his 'new normal'",News & Politics,361039,4695,2585,4m 48s
TjVXrw80MfU,I Built The Most Ridiculous End Portal In Minecraft Hardcore,Gaming,671721,52438,2848,19m 24s
oSca__bu0is,NLE Choppa - SLUT ME OUT 2 (Official Music Video),Music,516234,33924,2716,2m 26s
5VFLKunsQqo,I DESTROYED A ROLLS ROYCE TO REBUILD MARCUS RASHFORDS WRAITH,Autos & Vehicles,1914756,68267,3863,23m 0s
jrjESdPsLxE,Tinashe - Nasty (Official Video),Music,405704,34257,2105,3m 0s
FpOzMBwjSK0,[4K] BABYMONSTER “SHEESH” Band LIVE Concert 세상을 SHEESH하게 만들 베몬 밴드라이브😈 [it’s KPOP LIVE 잇츠라이브],Entertainment,4830217,471712,24411,5m 25s
BlUxw-0lS94,Season 10: Venture Forth | Overwatch 2 Official Trailer,Gaming,596840,32071,3488,2m 25s
Q8eFLjrIlmU,"$100,000 Or A Helicopter? What Do I Choose? Also Justin Destroys His New Burnout Truck!!!",People & Blogs,316572,14643,1392,32m 17s
QK1mAdqnJ1Q,Chlöe - Boy Bye (Official Video),Music,575813,55168,3622,3m 21s
51zjlMhdSTE,Sabrina Carpenter - Espresso (Official Audio),Music,554431,53307,2773,2m 56s
j6ucGt_Xp14,Dark Matter — Official Trailer | Apple TV+,Entertainment,4464267,15122,1058,2m 52s
AqBqTCqqbnU,Zach Bryan - Like Ida,Music,207158,13309,650,3m 42s
yHSPofOIGOU,Pawn Stars: These Sellers Are Offered WAY MORE Than Expected,Entertainment,3518581,23169,2511,20m 25s
YQfC90O9HlI,I Built an Invisible Katana (it's indestructible),Entertainment,3447871,93404,4718,22m 2s
S8aKWCxiLps,Fortnite x Avatar: Elements - Gameplay Trailer,Gaming,2087912,32364,2340,0m 51s
JyYQmekPqqI,We made a real DOGDAY Animatronic!,Howto & Style,1750921,51340,6844,27m 55s
TxwN6dgO1uM,I did Something Bad | Ep. 6 | Minecraft S0S,Gaming,573846,38798,2381,15m 24s
kmtbk0siRIM,2025 Toyota 4Runner FULL Tour: It's Finally Here!,Autos & Vehicles,1306345,27192,4235,27m 49s
crGbURdPRsc,We Played a YouTuber Simulator,Gaming,1737201,108422,1589,23m 51s
frM1_rmltU8,"The 8K Era Is Here - Our Next Camera, April 16",Science & Technology,276907,4884,8782,0m 38s
dprcKCAmsTI,IT'S WEDDING WEEKEND!!! The Rehearsal & Welcome Party!!,People & Blogs,179854,9710,441,23m 50s
kIcZiVNC-sE,The 2025 Toyota 4Runner is HERE! First look,People & Blogs,491148,15932,1127,11m 13s
VY2JoNWi-9o,We Still Don't Trust You,Music,627167,20255,659,4m 13s
amHIb5BL6gE,I Cheated With SCARY CAMERA In Build Battle...,Gaming,524329,8016,350,23m 46s
6VChofV3d0E,Helldivers 2 Review | TRIPLE THE DEFENSE BUDGET | Starship Bloopers,Gaming,1156889,113946,3742,15m 15s
xamGwv3zPCU,"Julian Newman, D’Aydrian, Paul Pierce vs Josh Richards, Cash Nasty, Demarcus Cousins!",Sports,317628,7433,1246,16m 55s
fPAeRGBDrBM,DRIVING MARCUS RASHFORDS WRECKED ROLLS ROYCE FOR THE FIRST TIME,Autos & Vehicles,3621528,163052,5300,36m 9s
aVKXPYisye8,"Simon Says survive to win 10,000 v-bucks!",Gaming,802059,12633,870,24m 43s
fampr-iP_y4,Final Shape: Prismatic Subclasses. 2 Exotics at once. New enemy types. They actually cooked.,Gaming,279514,11823,1217,20m 51s
yvB5gQVyVtI,Detailed Look! All New 2025 6th Gen Toyota 4Runner TRD Pro!,Autos & Vehicles,136648,3768,846,14m 31s
F_HOrMmWoMA,"The ""Artificial Intelligence"" Rice Cooker.",Science & Technology,357535,25987,1776,9m 12s
