id,title,category,views,likes,comments,duration
eVli-tstM5E,Sabrina Carpenter - Espresso (Official Video),Music,3067840,242245,8218,3m 21s
a9cyG_yfh1k,Dua Lipa - Illusion (Official Music Video),Music,5721824,280351,14388,3m 7s
U4JYAx5rNRA,Bridgerton Season 3 | Official Trailer | Netflix,Entertainment,4397299,160460,6578,2m 48s
5VFLKunsQqo,I DESTROYED A ROLLS ROYCE TO REBUILD MARCUS RASHFORDS WRAITH,Autos & Vehicles,1914756,68267,3863,23m 0s
lbPJXWDa6oM,Why We Left Car Throttle,People & Blogs,225498,25281,1918,4m 3s
FALlhXl6CmA,Conan O'Brien Needs a Doctor While Eating Spicy Wings | Hot Ones,Entertainment,5348291,343924,34962,27m 21s
nsdo_tcw4VY,I Ran the Entire Length of Africa,Sports,433971,35585,2651,27m 19s
NLuG-_Qjt98,Bugzy Malone - Old Friends,Music,795602,12215,775,4m 45s
7D0wFf4GqLI,Coming Soon: New Pokémon GO Updates,Gaming,549860,4939,1727,0m 15s
djIufZ7Fyms,I made FLAPPY BIRD in DUMB programs,Education,912030,80425,3328,19m 35s
oSca__bu0is,NLE Choppa - SLUT ME OUT 2 (Official Music Video),Music,516234,33924,2716,2m 26s
51zjlMhdSTE,Sabrina Carpenter - Espresso (Official Audio),Music,554431,53307,2773,2m 56s
xy8aJw1vYHo,Joker: Folie à Deux | Official Teaser Trailer,Film & Animation,28883267,846438,39829,2m 25s
TjVXrw80MfU,I Built The Most Ridiculous End Portal In Minecraft Hardcore,Gaming,671721,52438,2848,19m 24s
OU__5jImEm0,Bryson DeChambeau's First Round | Every Single Shot | The Masters,Sports,582607,5861,560,10m 50s
BlUxw-0lS94,Season 10: Venture Forth | Overwatch 2 Official Trailer,Gaming,596840,32071,3488,2m 25s
S8aKWCxiLps,Fortnite x Avatar: Elements - Gameplay Trailer,Gaming,2087912,32364,2340,0m 51s
oQkQv1ULyzs,"Kendall Jenner’s Guide to “Spring French Girl"" Makeup | Beauty Secrets | Vogue",Entertainment,1384941,53427,1413,11m 27s
K7BAQZwJmk0,Trossard Rescues Gunners 🔴 | Arsenal 2-2 Bayern Munich | Champions League Quarter-Final Highlights,Sports,1832142,16913,2582,4m 15s
F9gq_0HXoRI,410 (OFFICIAL VIDEO) SIDHU MOOSE WALA | SUNNY MALTON  |  Latest New Punjabi Songs 2024,Music,12961158,929113,117260,3m 52s
ezlJzCNrXZ0,UFC 300: Pre-Fight Press Conference,Sports,1157964,29467,3461,54m 26s
j6ucGt_Xp14,Dark Matter — Official Trailer | Apple TV+,Entertainment,4464267,15122,1058,2m 52s
TxwN6dgO1uM,I did Something Bad | Ep. 6 | Minecraft S0S,Gaming,573846,38798,2381,15m 24s
yKmPJmaeP8A,Has JWST SOLVED the crisis in cosmology?!,Science & Technology,274351,15156,1352,23m 44s
QK1mAdqnJ1Q,Chlöe - Boy Bye (Official Video),Music,575813,55167,3622,3m 21s
9JzhJCIALX0,Godzilla x Kong: The New Empire Pitch Meeting,Entertainment,551543,45326,2470,5m 25s
e069XIFk9K4,Everything is gone...,Autos & Vehicles,1002746,61630,6172,17m 50s
FpOzMBwjSK0,[4K] BABYMONSTER “SHEESH” Band LIVE Concert 세상을 SHEESH하게 만들 베몬 밴드라이브😈 [it’s KPOP LIVE 잇츠라이브],Entertainment,4830217,471712,24411,5m 25s
YQfC90O9HlI,I Built an Invisible Katana (it's indestructible),Entertainment,3447871,93404,4718,22m 2s
FjzxI6uf8H8,Speak No Evil | Official Trailer,Entertainment,11107587,16177,1975,2m 56s
yHSPofOIGOU,Pawn Stars: These Sellers Are Offered WAY MORE Than Expected,Entertainment,3518581,23169,2511,20m 25s
9B9eR0IOK18,Kodak Black - Stressed Out [Official Music Video],Music,1626590,111558,8380,4m 14s
Obu-R8kuz3w,QWERTY [Official Visualizer]  - Linkin Park,Music,502382,55795,2841,3m 22s
c2G18nIVpNE,Civil War | Official Final Trailer HD | A24,Film & Animation,7805682,8269,1890,1m 1s
fPAeRGBDrBM,DRIVING MARCUS RASHFORDS WRECKED ROLLS ROYCE FOR THE FIRST TIME,Autos & Vehicles,3621528,163052,5300,36m 9s
JyYQmekPqqI,We made a real DOGDAY Animatronic!,Howto & Style,1750921,51340,6844,27m 55s
h02ew33tSbI,I Took a Last Minute Cruise on An Old Ship - Worth It?,Entertainment,462603,11655,1011,21m 15s
crGbURdPRsc,We Played a YouTuber Simulator,Gaming,1737201,108422,1589,23m 51s
aVKXPYisye8,"Simon Says survive to win 10,000 v-bucks!",Gaming,802059,12633,870,24m 43s
6VChofV3d0E,Helldivers 2 Review | TRIPLE THE DEFENSE BUDGET | Starship Bloopers,Gaming,1156889,113946,3742,15m 15s
F_HOrMmWoMA,"The ""Artificial Intelligence"" Rice Cooker.",Science & Technology,357535,25987,1776,9m 12s
